source_id,source_type,raw_text,source_url,date,company_seed
58,USPTO,"Patent 10556849. Assignee: MITSUBISHI GAS CHEMICAL COMPANY, INC.. Grant year: 2020. Application number: 16091309. Application year: 2017. Location: Tokyo, nan, JP. CPC sections: C B Y. IPC sections: B C. WIPO field: Organic fine chemistry. WIPO sector: Chemistry. Team size: 4. Inventors: Yasuaki Kambe; Kohei Uchida; Takuya OKAMURA; Daigo Hirakawa.",https://patents.google.com/patent/US10556849,2020,MITSUBISHI GAS CHEMICAL CO INC
59,USPTO,"Patent 10556869. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15546707. Application year: 2016. Location: Basel, nan, CH. CPC sections: C A. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 2. Inventors: Andreas Bertogg; Hanspeter Schilling.",https://patents.google.com/patent/US10556869,2020,Novartis
60,USPTO,"Patent 10556907. Assignee: ABBVIE INC.. Grant year: 2020. Application number: 15248994. Application year: 2016. Location: North Chicago, IL, US. CPC sections: C A. IPC sections: C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 12. Inventors: Udo Lange; Michael Ochse; Elizabeth Louise VAN DER KAM; Jeroen van Bergeijk; Sean Colm Turner; Frank Oellien; Patrick Walleser; Wilhelm Amberg; Wilfried Hornberger; Hervé Geneste.",https://patents.google.com/patent/US10556907,2020,AbbVie
61,USPTO,"Patent 10556914. Assignee: ABBVIE INC.. Grant year: 2020. Application number: 16409323. Application year: 2019. Location: North Chicago, IL, US. CPC sections: C A. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 8. Inventors: Jurgen Dinges; Achim Moeller; Michael Ochse; Martin Schmidt; Michael Schulz; Sean Turner; Elizabeth Louise VAN DER KAM; Anil Vasudevan.",https://patents.google.com/patent/US10556914,2020,AbbVie
62,USPTO,"Patent 10556987. Assignee: MITSUBISHI GAS CHEMICAL COMPANY, INC.. Grant year: 2020. Application number: 15769010. Application year: 2016. Location: Tokyo, nan, JP. CPC sections: C G. IPC sections: C G. WIPO field: Optics. WIPO sector: Instruments. Team size: 6. Inventors: Noriyuki Kato; Mitsuteru Kondo; Munenori Shiratake; Kentaro Ishihara; Koji Hirose; Shinya Ikeda.",https://patents.google.com/patent/US10556987,2020,MITSUBISHI GAS CHEMICAL CO INC
63,USPTO,"Patent 10557003. Assignee: MITSUBISHI GAS CHEMICAL COMPANY, INC.. Grant year: 2020. Application number: 14430341. Application year: 2013. Location: Tokyo, nan, JP. CPC sections: C B H Y. IPC sections: B C. WIPO field: Surface technology, coating. WIPO sector: Chemistry. Team size: 2. Inventors: Shuya Suenaga; Teruhisa Matsumaru.",https://patents.google.com/patent/US10557003,2020,MITSUBISHI GAS CHEMICAL CO INC
64,USPTO,"Patent 10557158. Assignee: 10X GENOMICS, INC.. Grant year: 2020. Application number: 16228362. Application year: 2018. Location: Pleasanton, CA, US. CPC sections: C B. IPC sections: C. WIPO field: Biotechnology. WIPO sector: Chemistry. Team size: 7. Inventors: Paul Hardenbol; Pranav Patel; Benjamin Hindson; Paul Wyatt; Keith Bjornson; Indira Wu; Kamila Belhocine.",https://patents.google.com/patent/US10557158,2020,10X Genomics
65,USPTO,"Patent 10557700. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15869849. Application year: 2018. Location: Basel, nan, CH. CPC sections: G A. IPC sections: A G. WIPO field: Measurement. WIPO sector: Instruments. Team size: 2. Inventors: Muhammad K. Al-Qaisi; Guy Holland.",https://patents.google.com/patent/US10557700,2020,Novartis
66,USPTO,"Patent 10561529. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15864624. Application year: 2018. Location: Basel, nan, CH. CPC sections: A. IPC sections: A. WIPO field: Medical technology. WIPO sector: Instruments. Team size: 3. Inventors: James Y. Chon; Robert Stephen Maurer, Jr.; Satish Yalamanchili.",https://patents.google.com/patent/US10561529,2020,Novartis
67,USPTO,"Patent 10561653. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 15751140. Application year: 2016. Location: Basel, nan, CH. CPC sections: A C. IPC sections: A. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 5. Inventors: Sanela Bilic; Juan Camacho Gómez; John Scott Cameron; Julio Castro-Palomino Laria; Danny Roland Howard, Jr..",https://patents.google.com/patent/US10561653,2020,Novartis
